,Time,Discharge
471,16-01-1969 ,1327.5520000000001
472,17-01-1969 ,1343.136
473,18-01-1969 ,1389.8629999999998
474,19-01-1969 ,1393.489
475,20-01-1969 ,1393.489
476,21-01-1969 ,1393.489
477,22-01-1969 ,1393.489
478,23-01-1969 ,1393.489
479,24-01-1969 ,1404.134
480,25-01-1969 ,1438.865
481,26-01-1969 ,1441.5529999999999
482,27-01-1969 ,1441.5529999999999
483,28-01-1969 ,1430.836
484,29-01-1969 ,1396.141
485,30-01-1969 ,1398.7939999999999
486,31-01-1969 ,1518.8870000000002
487,01-01-1970 ,994.857
488,02-01-1970 ,1076.974
489,03-01-1970 ,1080.688
490,04-01-1970 ,1013.202
491,05-01-1970 ,958.211
492,06-01-1970 ,947.377
493,07-01-1970 ,921.1360000000001
494,08-01-1970 ,911.194
495,09-01-1970 ,1014.341
496,10-01-1970 ,1295.499
497,11-01-1970 ,1301.562
498,12-01-1970 ,1204.275
499,13-01-1970 ,1016.279
500,14-01-1970 ,973.205
501,15-01-1970 ,977.688
502,16-01-1970 ,1041.785
503,17-01-1970 ,1055.046
504,18-01-1970 ,1099.0639999999999
505,19-01-1970 ,1140.395
506,20-01-1970 ,1071.737
507,21-01-1970 ,1030.864
508,22-01-1970 ,1063.315
509,23-01-1970 ,1030.864
510,24-01-1970 ,1097.015
511,25-01-1970 ,1174.222
512,26-01-1970 ,1198.131
513,27-01-1970 ,1092.305
514,28-01-1970 ,1083.766
515,29-01-1970 ,1079.913
516,30-01-1970 ,1059.268
517,31-01-1970 ,1035.701
518,01-01-1971 ,1101.662
519,02-01-1971 ,989.8969999999999
520,03-01-1971 ,975.685
521,04-01-1971 ,1152.108
522,05-01-1971 ,1224.681
523,06-01-1971 ,
524,07-01-1971 ,
525,08-01-1971 ,
526,09-01-1971 ,
527,10-01-1971 ,
528,11-01-1971 ,
529,12-01-1971 ,
530,13-01-1971 ,
531,14-01-1971 ,
532,15-01-1971 ,
533,16-01-1971 ,
534,17-01-1971 ,
535,18-01-1971 ,
536,19-01-1971 ,
537,20-01-1971 ,
538,21-01-1971 ,
539,22-01-1971 ,
540,23-01-1971 ,
541,24-01-1971 ,
542,25-01-1971 ,
543,26-01-1971 ,
544,27-01-1971 ,
545,28-01-1971 ,
546,29-01-1971 ,
547,30-01-1971 ,
548,31-01-1971 ,
549,01-01-1972 ,1288.0330000000001
550,02-01-1972 ,1460.8329999999999
551,03-01-1972 ,1425.2879999999998
552,04-01-1972 ,1395.5810000000001
553,05-01-1972 ,1471.414
554,06-01-1972 ,1303.94
555,07-01-1972 ,1259.327
556,08-01-1972 ,1118.649
557,09-01-1972 ,1195.39
558,10-01-1972 ,1197.259
559,11-01-1972 ,1175.577
560,12-01-1972 ,1242.093
561,13-01-1972 ,1346.2839999999999
562,14-01-1972 ,1587.21
563,15-01-1972 ,1458.245
564,16-01-1972 ,1131.4489999999998
565,17-01-1972 ,954.227
566,18-01-1972 ,3638.039
567,19-01-1972 ,2841.9309999999996
568,20-01-1972 ,1385.3929999999998
569,21-01-1972 ,965.049
570,22-01-1972 ,679.806
571,23-01-1972 ,593.877
572,24-01-1972 ,628.555
573,25-01-1972 ,926.7389999999999
574,26-01-1972 ,825.5419999999999
575,27-01-1972 ,827.878
576,28-01-1972 ,757.949
577,29-01-1972 ,951.428
578,30-01-1972 ,1211.11
579,31-01-1972 ,1168.3319999999999
580,01-01-1973 ,3066.955
581,02-01-1973 ,3598.192
582,03-01-1973 ,3618.026
583,04-01-1973 ,3608.1009999999997
584,05-01-1973 ,3610.074
585,06-01-1973 ,4000.281
586,07-01-1973 ,4140.3820000000005
587,08-01-1973 ,4144.633
588,09-01-1973 ,4132.745
589,10-01-1973 ,4124.393
590,11-01-1973 ,4127.649
591,12-01-1973 ,4091.034
592,13-01-1973 ,3686.441
593,14-01-1973 ,3518.782
594,15-01-1973 ,3499.633
595,16-01-1973 ,3204.3509999999997
596,17-01-1973 ,3149.8940000000002
597,18-01-1973 ,3131.0879999999997
598,19-01-1973 ,3127.4390000000003
599,20-01-1973 ,3120.886
600,21-01-1973 ,3116.577
601,22-01-1973 ,3107.0370000000003
602,23-01-1973 ,3131.131
603,24-01-1973 ,3753.489
604,25-01-1973 ,3657.987
605,26-01-1973 ,3984.572
606,27-01-1973 ,4096.979
607,28-01-1973 ,3659.265
608,29-01-1973 ,1486.733
609,30-01-1973 ,624.1030000000001
610,31-01-1973 ,542.359
611,01-01-1974 ,762.205
612,02-01-1974 ,657.1060000000001
613,03-01-1974 ,484.749
614,04-01-1974 ,404.74300000000005
615,05-01-1974 ,357.277
616,06-01-1974 ,455.592
617,07-01-1974 ,746.807
618,08-01-1974 ,669.683
619,09-01-1974 ,412.536
620,10-01-1974 ,313.197
621,11-01-1974 ,4128.858
622,12-01-1974 ,18382.221
623,13-01-1974 ,6127.241999999999
624,14-01-1974 ,2354.201
625,15-01-1974 ,1382.7879999999998
626,16-01-1974 ,962.659
627,17-01-1974 ,747.102
628,18-01-1974 ,630.105
629,19-01-1974 ,523.9680000000001
630,20-01-1974 ,459.176
631,21-01-1974 ,414.61800000000005
632,22-01-1974 ,371.23400000000004
633,23-01-1974 ,334.65
634,24-01-1974 ,519.691
635,25-01-1974 ,415.458
636,26-01-1974 ,319.069
637,27-01-1974 ,518.159
638,28-01-1974 ,657.5039999999999
639,29-01-1974 ,632.028
640,30-01-1974 ,633.8240000000001
641,31-01-1974 ,537.154
642,01-01-1975 ,884.467
643,02-01-1975 ,982.2689999999999
644,03-01-1975 ,1080.104
645,04-01-1975 ,1229.952
646,05-01-1975 ,1274.65
647,06-01-1975 ,1303.697
648,07-01-1975 ,1116.718
649,08-01-1975 ,1063.1589999999999
650,09-01-1975 ,1081.197
651,10-01-1975 ,1131.65
652,11-01-1975 ,1150.65
653,12-01-1975 ,1151.756
654,13-01-1975 ,1160.691
655,14-01-1975 ,927.112
656,15-01-1975 ,241.21099999999998
657,16-01-1975 ,138.877
658,17-01-1975 ,574.405
659,18-01-1975 ,1020.051
660,19-01-1975 ,856.785
